Goal_x,Goal_y
85,-1
86,0
84,2
-83,-6
83,5
65,-20
-78,9
72,2
82,5
58,23
-57,18
38,-21
64,15
80,-6
36,-6
-72,-4
76,16
82,4
-66,-12
-79,-3
65,23
80,10
-86,-5
58,-31
77,3
-32,-11
-66,4
84,3
85,5
-36,-37
-88,4
71,-1
61,15
-80,7
51,-4
-56,5
82,0
-82,-4
-79,1
-3,-3
-77,15
-64,-25
73,-2
80,-3
-82,6
79,-1
-60,5
-80,-3
-80,-5
-84,-6
-78,7
-73,11
81,0
60,-14
82,2
83,2
70,0
83,2
65,30
62,20
68,11
-65,6
78,25
-68,14
-84,8
83,10
71,-22
-71,-16
-78,2
83,-5
74,19
-77,-19
78,1
-71,-3
-32,18
-74,-10
34,12
-71,-18
-60,-2
-49,5
75,-1
-73,-3
-72,-4
-67,19
66,36
74,2
-63,-29
64,-23
-76,13
-80,-3
-66,25
-64,-22
54,-11
73,20
73,16
-73,-9
-88,-5
51,-28
-60,-22
-74,2
79,15
86,-1
-84,-4
76,10
66,12
78,-1
66,-14
-78,5
-73,-14
-75,19
-69,-12
61,-20
79,3
76,5
-48,-13
-76,10
71,11
-64,23
81,9
75,-3
59,3
78,-3
-76,-15
76,7
-81,3
79,1
77,10
74,-9
-67,-18
70,-18
74,-18
83,-5
-88,4
-71,8
66,26
87,-6
-79,-5
-61,-14
80,-8
-64,14
-59,-16
-66,21
68,-16
48,4
-80,10
-80,-7
85,-2
85,1
81,2
-64,-17
68,-17
-57,-19
87,-20
58,25
69,20
-67,17
-75,0
-80,4
-72,-20
-42,-10
85,-3
-75,16
-89,5
-58,-11
-88,7
29,35
-82,-4
82,5
85,-12
-63,-17
-73,14
74,3
-56,2
81,9
-85,22
-72,-1
86,-3
-76,1
-83,5
-77,-11
82,-3
-58,-24
68,-3
88,-3
72,-12
66,-15
-85,7
-78,-3
-39,22
45,0
33,17
48,-8
83,0
-37,-10
65,-22
58,24
73,7
50,-17
85,0
-85,0
81,-5
-56,5
-79,0
-75,16
-73,3
64,-18
85,-7
-52,25
81,-4
88,-3
-71,-4
82,-20
87,13
79,-19
76,-21
69,-2
83,6
-47,24
-76,7
82,0
75,2
78,9
82,0
-85,-15
83,3
-56,16
-70,-2
70,11
83,-3
-51,18
-86,7
86,4
88,-2
-79,24
79,5
81,1
-58,-14
-65,11
53,6
84,2
-69,13
-64,-14
54,-40
80,8
81,1
-78,5
-85,5
71,26
83,2
85,-2
61,-12
65,-10
-59,-9
80,3
69,19
64,14
-65,13
-60,-38
58,-17
77,-36
-86,-2
63,6
85,-25
-87,6
-62,-19
-75,15
-81,-4
81,-6
65,22
