Shot_x,Shot_y
-32,-2
63,-6
-59,-20
-42,-29
-52,-7
-38,38
-76,-14
-63,-31
-78,13
-32,34
-80,-4
78,-5
47,23
-64,24
83,-4
67,-20
47,-36
56,28
-45,-41
50,22
-41,-34
-62,-19
67,-36
43,32
30,-16
81,-1
-31,30
56,-23
43,9
37,-31
35,-38
45,21
12,-10
-60,-24
58,17
57,-22
86,-9
60,-1
45,-22
29,21
-33,-25
-89,25
-56,-15
-68,-25
-67,19
-70,23
-43,0
55,28
-62,11
70,-38
-59,-21
5,-17
2,31
66,41
64,-10
-62,-26
85,30
38,-24
64,28
48,28
-20,39
-44,-31
-35,23
84,-16
-38,1
92,-8
63,33
33,-40
39,-31
-68,-4
-81,-21
72,2
-75,0
-47,15
90,-27
80,4
91,-27
81,7
85,-8
52,34
41,27
44,-20
87,-10
65,3
78,12
72,17
87,-11
-82,18
-80,0
-60,-17
-34,39
67,-13
-78,3
-40,-1
-65,24
-94,-14
-39,4
83,3
-81,-5
-87,12
-36,-17
-52,25
81,-18
-77,-35
-58,28
-68,34
77,1
-44,0
48,3
58,-19
49,-12
-73,24
52,-38
-76,-32
31,32
-85,1
30,31
78,5
89,-19
-44,-40
-78,23
73,11
41,0
-37,41
-80,25
-48,-1
-53,-32
-37,-38
-55,-17
-74,8
-80,23
-74,18
-43,-13
-35,26
74,0
33,-29
84,-3
16,1
-93,12
-78,1
72,2
75,2
55,20
-76,-19
-52,20
78,4
-70,-26
-70,5
4,-33
-66,-2
47,-20
-51,-25
-79,35
-52,31
33,32
15,-18
-82,15
59,-9
-60,-20
-86,-6
-58,-29
87,7
-77,14
-77,-1
69,20
-58,-24
-73,-19
76,1
-54,28
-65,12
-80,8
-54,-29
-59,-25
32,16
-53,29
54,-24
52,-30
-2,22
-65,27
33,17
32,-13
37,-22
37,-7
68,-26
-72,-26
83,0
85,1
-25,40
85,10
78,-17
71,-15
-30,-1
61,2
85,7
72,-15
80,-1
82,3
42,-2
49,-29
72,37
37,-27
52,-36
-47,-35
29,-39
37,3
-72,-11
-52,-34
43,5
-78,-25
54,17
82,1
62,-25
-84,5
-13,34
38,36
-58,24
-47,-26
69,0
-49,-34
-42,-34
-63,21
-47,-3
-62,-22
-39,-38
-54,22
-1,27
59,22
-7,-27
66,24
58,25
-85,6
71,26
82,5
45,32
-61,-32
32,11
76,11
67,-7
-70,14
46,7
28,-22
68,-21
70,-32
62,35
32,-20
-57,-41
-37,2
-68,24
-35,6
50,36
28,36
79,-23
-57,14
-34,-40
82,18
77,-11
78,1
37,-3
54,27
-33,-37
-71,2
-86,4
-55,-17
-64,-9
-65,-27
-57,-31
66,1
74,10
-34,-30
33,3
62,33
80,8
70,1
66,-22
45,27
-79,41
-29,21
65,-24
54,-10
36,-2
48,-32
-78,-8
-63,19
60,23
61,-1
51,-35
-38,-6
-81,10
58,18
66,-22
33,10
39,-26
42,24
84,-10
39,2
-76,0
58,18
87,-13
-52,-24
73,9
-55,-2
-79,8
-85,8
-85,9
-83,-11
-46,-32
-39,-28
54,32
66,-38
-66,-23
-81,1
-40,-2
77,-20
-74,-37
-70,3
-85,-18
-63,-5
-63,-17
-65,-18
-72,3
32,-36
-79,4
80,0
-50,-33
40,35
78,-10
64,-26
63,19
77,-6
2,-28
82,1
-78,-4
-77,16
-39,14
-70,18
-56,-39
50,26
30,-35
48,-27
77,4
52,-23
85,-9
58,6
-2,-7
-86,-9
-85,19
-36,28
-73,39
-58,-38
55,16
-54,-24
-51,19
-51,-30
31,-34
-75,21
-96,-18
-83,-21
-78,-14
32,-30
39,30
-81,-8
25,29
82,13
44,10
48,14
68,-9
-84,6
58,28
53,38
80,9
-27,38
46,-2
38,-17
-64,-28
42,7
78,-13
67,31
83,1
44,5
72,0
35,-9
81,4
-2,22
-45,31
66,-28
86,9
19,-27
-70,-17
42,-32
-1,32
-67,-20
-48,2
91,31
40,20
14,-14
81,11
-49,-3
-61,4
-78,-5
-10,-16
74,-26
86,-27
-85,15
-63,-17
85,10
32,-10
51,-24
81,6
29,-32
86,-19
69,33
60,15
-85,4
67,-21
-39,-37
70,-38
83,-19
-78,-23
-51,-39
-66,21
-80,14
80,24
81,19
-50,-39
-36,-20
81,5
-79,11
39,-26
69,19
96,-24
80,-8
58,-3
30,-30
-55,-27
-79,3
-64,21
-65,-24
-93,-29
55,12
66,21
73,23
86,6
83,8
72,6
87,-6
81,9
-80,12
-83,-23
-3,-33
-66,30
-86,6
95,20
-78,-20
-36,30
-34,41
-31,31
-25,-15
81,6
69,26
-56,-22
-72,1
-78,-35
43,-25
-31,-29
-86,4
-46,-25
84,31
-54,-34
-31,33
-78,4
-84,5
-32,-24
79,-34
29,38
-59,16
33,10
-50,-12
46,-27
-66,1
-33,-10
-49,3
69,-8
-83,-4
79,-5
-76,0
75,5
56,28
77,11
29,-6
81,-4
60,11
72,26
64,-7
75,9
40,-8
86,-3
-71,36
-44,-23
-60,16
-35,-31
51,-17
-39,31
-30,-38
77,-18
60,-36
-43,23
-70,15
-70,38
-50,34
85,-3
84,-13
-60,-21
-29,14
27,-5
-29,-27
-48,16
63,18
-33,19
81,13
-56,28
-87,-9
64,25
-69,-5
-84,6
-37,35
-62,34
-48,-32
60,-23
67,10
-88,-4
30,0
35,35
-64,-25
-84,15
-73,-3
-67,-11
-42,-36
59,-22
-81,2
31,23
48,41
57,-20
-80,-38
83,31
-75,-25
88,4
69,-23
69,39
44,-29
-78,-14
76,18
-54,-21
-72,-5
-50,-33
52,36
65,12
-44,-17
-81,-5
55,0
76,8
-55,-18
-77,1
-77,-3
-80,-5
-35,-3
-73,-5
37,28
80,7
-42,21
80,-10
-36,41
83,4
37,25
-51,-3
53,37
18,-19
-62,13
-68,-32
-61,-28
-31,-42
-30,25
-82,26
-58,22
-87,-5
-89,-21
80,-14
-36,-38
-80,-11
69,26
63,2
-71,14
-65,6
-41,-1
-87,-11
-50,-7
-56,-29
-82,-3
57,-6
73,-6
-38,-13
-30,40
-64,-22
-88,4
63,-11
-73,2
-57,37
36,32
77,14
79,-5
60,15
59,-7
-83,-8
-67,-23
-85,38
36,21
75,20
-82,-3
71,24
69,-1
-50,-35
-67,-8
59,5
85,-11
-64,-25
2,-38
-84,-34
61,16
30,35
